time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-11 00:00:00+00:00,35,26,26,4
2022-11-12 00:00:00+00:00,34,23,5,3
2022-11-13 00:00:00+00:00,30,23,7,7
2022-11-14 00:00:00+00:00,32,27,5,4
2022-11-15 00:00:00+00:00,30,25,79,4
2022-11-16 00:00:00+00:00,31,24,6,4
2022-11-17 00:00:00+00:00,30,23,6,3
2022-11-18 00:00:00+00:00,31,25,111,3
2022-11-19 00:00:00+00:00,29,23,8,2
2022-11-20 00:00:00+00:00,29,23,18,3
2022-11-21 00:00:00+00:00,31,24,1,1
2022-11-22 00:00:00+00:00,29,23,15,7
2022-11-23 00:00:00+00:00,29,23,3,3
2022-11-24 00:00:00+00:00,31,24,3,2
2022-11-25 00:00:00+00:00,32,24,5,4
2022-11-26 00:00:00+00:00,38,24,18,6
2022-11-27 00:00:00+00:00,37,27,51,7
2022-11-28 00:00:00+00:00,29,23,4,3
2022-11-29 00:00:00+00:00,33,24,8,4
2022-11-30 00:00:00+00:00,30,25,19,10
2022-12-01 00:00:00+00:00,30,24,6,3
2022-12-02 00:00:00+00:00,32,26,8,2
2022-12-03 00:00:00+00:00,33,24,7,2
2022-12-04 00:00:00+00:00,33,24,14,5
2022-12-05 00:00:00+00:00,43,29,8,3
2022-12-06 00:00:00+00:00,36,26,17,3
2022-12-07 00:00:00+00:00,35,27,2,2
2022-12-08 00:00:00+00:00,29,25,11,5
2022-12-09 00:00:00+00:00,37,27,11,1
2022-12-10 00:00:00+00:00,35,25,19,5
2022-12-11 00:00:00+00:00,39,26,21,6
2022-12-12 00:00:00+00:00,34,28,7,3
2022-12-13 00:00:00+00:00,30,24,21,10
2022-12-14 00:00:00+00:00,30,24,12,3
2022-12-15 00:00:00+00:00,31,24,7,4
2022-12-16 00:00:00+00:00,38,28,8,3
2022-12-17 00:00:00+00:00,44,24,1,1
2022-12-18 00:00:00+00:00,36,24,12,6
2022-12-19 00:00:00+00:00,34,24,7,3
