time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-30 00:00:00+00:00,23.0,23.0,20,9
2023-03-31 00:00:00+00:00,23.0,23.0,21,6
2023-04-01 00:00:00+00:00,24.0,23.0,12,6
2023-04-02 00:00:00+00:00,25.0,25.0,9,4
2023-04-03 00:00:00+00:00,26.0,26.0,12,7
2023-04-04 00:00:00+00:00,25.0,25.0,18,8
2023-04-05 00:00:00+00:00,27.0,27.0,33,3
2023-04-06 00:00:00+00:00,28.0,27.0,1,1
2023-04-07 00:00:00+00:00,27.0,27.0,7,2
2023-04-08 00:00:00+00:00,25.0,25.0,10,8
2023-04-09 00:00:00+00:00,25.0,25.0,35,9
2023-04-10 00:00:00+00:00,25.0,25.0,3,2
2023-04-11 00:00:00+00:00,26.0,25.0,13,4
2023-04-12 00:00:00+00:00,26.0,25.0,5,4
2023-04-13 00:00:00+00:00,,,1,1
