url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,84,61
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,25,18
/Luois45/claim-free-steam-packages/issues,8,6
/Luois45/claim-free-steam-packages/issues/172,6,3
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,5,4
/Luois45/claim-free-steam-packages/find/main,3,3
/Luois45/claim-free-steam-packages/blob/main/activate_packages.py,2,2
/Luois45/claim-free-steam-packages/issues/166,2,2
/Luois45/claim-free-steam-packages/actions/workflows/update_package_list.yml,2,1
/Luois45/claim-free-steam-packages/actions,1,1
