time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-31 00:00:00+00:00,15,10,1,1
2023-01-01 00:00:00+00:00,40,26,3,2
2023-01-02 00:00:00+00:00,33,23,20,5
2023-01-03 00:00:00+00:00,40,29,16,11
2023-01-04 00:00:00+00:00,33,27,26,6
2023-01-05 00:00:00+00:00,30,26,13,7
2023-01-06 00:00:00+00:00,28,26,6,4
2023-01-07 00:00:00+00:00,30,25,13,6
2023-01-08 00:00:00+00:00,30,24,10,4
2023-01-09 00:00:00+00:00,31,25,15,7
2023-01-10 00:00:00+00:00,31,25,4,4
2023-01-11 00:00:00+00:00,28,25,10,4
2023-01-12 00:00:00+00:00,28,26,15,5
2023-01-13 00:00:00+00:00,30,25,14,4
2023-01-14 00:00:00+00:00,15,14,3,1
