time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-01 00:00:00+00:00,37,24,3.0,2.0
2023-01-02 00:00:00+00:00,33,23,20.0,5.0
2023-01-03 00:00:00+00:00,40,29,16.0,11.0
2023-01-04 00:00:00+00:00,33,27,26.0,6.0
2023-01-05 00:00:00+00:00,30,26,13.0,7.0
2023-01-06 00:00:00+00:00,28,26,6.0,4.0
2023-01-07 00:00:00+00:00,30,25,13.0,6.0
2023-01-08 00:00:00+00:00,30,24,10.0,4.0
2023-01-09 00:00:00+00:00,31,25,15.0,7.0
2023-01-10 00:00:00+00:00,31,25,4.0,4.0
2023-01-11 00:00:00+00:00,28,25,10.0,4.0
2023-01-12 00:00:00+00:00,28,26,15.0,5.0
2023-01-13 00:00:00+00:00,30,25,14.0,4.0
2023-01-14 00:00:00+00:00,28,23,8.0,5.0
2023-01-15 00:00:00+00:00,2,2,,
