url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,105,60
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,20,15
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,18,4
/Luois45/claim-free-steam-packages/issues,13,5
/Luois45/claim-free-steam-packages/actions,5,5
/Luois45/claim-free-steam-packages/issues/166,5,4
/Luois45/claim-free-steam-packages/discussions/33,4,4
/Luois45/claim-free-steam-packages/releases,4,3
/Luois45/claim-free-steam-packages/discussions,3,3
/Luois45/claim-free-steam-packages/tags,3,2
