time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-21 00:00:00+00:00,32.0,23.0,5,3
2022-12-22 00:00:00+00:00,33.0,23.0,1,1
2022-12-23 00:00:00+00:00,30.0,24.0,5,4
2022-12-24 00:00:00+00:00,43.0,27.0,15,7
2022-12-25 00:00:00+00:00,41.0,24.0,8,5
2022-12-26 00:00:00+00:00,36.0,25.0,2,2
2022-12-27 00:00:00+00:00,34.0,23.0,5,1
2022-12-28 00:00:00+00:00,36.0,28.0,23,5
2022-12-29 00:00:00+00:00,29.0,22.0,2,1
2022-12-30 00:00:00+00:00,30.0,23.0,6,4
2022-12-31 00:00:00+00:00,38.0,24.0,5,4
2023-01-01 00:00:00+00:00,40.0,26.0,3,2
2023-01-02 00:00:00+00:00,33.0,23.0,20,5
2023-01-03 00:00:00+00:00,39.0,28.0,16,11
2023-01-04 00:00:00+00:00,,,18,3
