url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,73,58
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,16,12
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,7,5
/Luois45/claim-free-steam-packages/issues/177,7,2
/Luois45/claim-free-steam-packages/search,4,3
/Luois45/claim-free-steam-packages/blob/main/package_list.txt,3,2
/Luois45/claim-free-steam-packages/issues,3,2
/Luois45/claim-free-steam-packages/releases,3,2
/Luois45/claim-free-steam-packages/commits/auto-update,2,1
/Luois45/claim-free-steam-packages/pull/178,2,1
