url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,100,73
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,15,11
/Luois45/claim-free-steam-packages/issues,3,3
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,3,2
/Luois45/claim-free-steam-packages/blob/main/get_package_list.py,2,1
/Luois45/claim-free-steam-packages/forks,2,1
/Luois45/claim-free-steam-packages/blob/main/docker-compose.yml,1,1
/Luois45/claim-free-steam-packages/blob/main/README.md,1,1
/Luois45/claim-free-steam-packages/commits,1,1
/Luois45/claim-free-steam-packages/compare/main...woctezuma:claim-free-steam-packages:trim,1,1
