url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,58,34
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,10,6
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,5,5
/Luois45/claim-free-steam-packages/search,4,2
/Luois45/claim-free-steam-packages/tree/main/.github,3,2
/Luois45/claim-free-steam-packages/blob/main/activate_packages.py,3,1
/Luois45/claim-free-steam-packages/blob/main/docker-compose.yml,2,2
/Luois45/claim-free-steam-packages/blob/main/.github/workflows/generate_repository_stats.yml,2,1
/Luois45/claim-free-steam-packages/blob/main/.github/workflows/update_package_list.yml,2,1
/Luois45/claim-free-steam-packages/blob/auto-update/package_list.txt,1,1
