time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-08 00:00:00+00:00,21,21,10.0,8.0
2023-04-09 00:00:00+00:00,25,25,35.0,9.0
2023-04-10 00:00:00+00:00,25,25,3.0,2.0
2023-04-11 00:00:00+00:00,26,25,13.0,4.0
2023-04-12 00:00:00+00:00,26,25,5.0,4.0
2023-04-13 00:00:00+00:00,24,24,17.0,6.0
2023-04-14 00:00:00+00:00,24,24,1.0,1.0
2023-04-15 00:00:00+00:00,25,25,6.0,5.0
2023-04-16 00:00:00+00:00,26,26,13.0,7.0
2023-04-17 00:00:00+00:00,31,29,3.0,2.0
2023-04-18 00:00:00+00:00,26,25,8.0,7.0
2023-04-19 00:00:00+00:00,36,25,12.0,5.0
2023-04-20 00:00:00+00:00,69,28,23.0,9.0
2023-04-21 00:00:00+00:00,70,27,18.0,6.0
2023-04-22 00:00:00+00:00,3,2,,
