time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-18 00:00:00+00:00,3,2,,
2022-07-19 00:00:00+00:00,14,6,74.0,6.0
2022-07-20 00:00:00+00:00,6,4,19.0,2.0
2022-07-21 00:00:00+00:00,25,15,106.0,7.0
2022-07-22 00:00:00+00:00,40,31,60.0,5.0
2022-07-23 00:00:00+00:00,71,29,15.0,4.0
2022-07-24 00:00:00+00:00,47,25,10.0,4.0
2022-07-25 00:00:00+00:00,41,26,1.0,1.0
2022-07-26 00:00:00+00:00,42,25,1.0,1.0
2022-07-27 00:00:00+00:00,44,27,12.0,5.0
2022-07-28 00:00:00+00:00,38,25,9.0,4.0
2022-07-29 00:00:00+00:00,47,25,8.0,3.0
2022-07-30 00:00:00+00:00,57,26,4.0,3.0
2022-07-31 00:00:00+00:00,40,26,5.0,4.0
2022-08-01 00:00:00+00:00,27,22,1.0,1.0
