url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,58,49
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,18,14
/Luois45/claim-free-steam-packages/blob/main/docker-compose.yml,11,1
/Luois45/claim-free-steam-packages/issues,9,4
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,7,4
/Luois45/claim-free-steam-packages/blob/main/get_package_list.py,7,3
/Luois45/claim-free-steam-packages/blob/main/package_list.txt,5,1
/Luois45/claim-free-steam-packages/tree/main,4,3
/Luois45/claim-free-steam-packages/issues/166,3,3
/Luois45/claim-free-steam-packages/tree/main/.github,3,1
