time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-21 00:00:00+00:00,21.0,21.0,4,4
2023-03-22 00:00:00+00:00,25.0,25.0,5,3
2023-03-23 00:00:00+00:00,25.0,24.0,4,4
2023-03-24 00:00:00+00:00,109.0,35.0,254,9
2023-03-25 00:00:00+00:00,25.0,25.0,7,6
2023-03-26 00:00:00+00:00,26.0,26.0,4,3
2023-03-27 00:00:00+00:00,44.0,30.0,56,15
2023-03-28 00:00:00+00:00,27.0,27.0,8,7
2023-03-29 00:00:00+00:00,25.0,25.0,7,4
2023-03-30 00:00:00+00:00,27.0,27.0,22,9
2023-03-31 00:00:00+00:00,23.0,23.0,21,6
2023-04-01 00:00:00+00:00,24.0,23.0,12,6
2023-04-02 00:00:00+00:00,25.0,25.0,9,4
2023-04-03 00:00:00+00:00,26.0,26.0,12,7
2023-04-04 00:00:00+00:00,,,3,1
