url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,72,50
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,10,7
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,10,4
/Luois45/claim-free-steam-packages/issues,8,2
/Luois45/claim-free-steam-packages/blob/main/Dockerfile,4,1
/Luois45/claim-free-steam-packages/blob/main/docker-compose.yml,3,1
/Luois45/claim-free-steam-packages/tree/main,2,2
/Luois45/claim-free-steam-packages/blob/main/get_package_list.py,2,1
/Luois45/claim-free-steam-packages/tree/main/docs,2,1
/Luois45/claim-free-steam-packages/issues/166,1,1
