url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,102,58
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,20,5
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,19,14
/Luois45/claim-free-steam-packages/issues,19,7
/Luois45/claim-free-steam-packages/blob/main/docker-compose.yml,11,1
/Luois45/claim-free-steam-packages/issues/166,6,5
/Luois45/claim-free-steam-packages/actions,5,5
/Luois45/claim-free-steam-packages/discussions/33,4,4
/Luois45/claim-free-steam-packages/releases,4,3
/Luois45/claim-free-steam-packages/discussions,3,3
