time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-15 00:00:00+00:00,5,5,2,1
2022-08-16 00:00:00+00:00,29,22,3,2
2022-08-17 00:00:00+00:00,22,22,3,2
2022-08-18 00:00:00+00:00,29,22,8,2
2022-08-19 00:00:00+00:00,25,23,11,2
2022-08-20 00:00:00+00:00,30,23,5,3
2022-08-21 00:00:00+00:00,32,23,8,4
2022-08-22 00:00:00+00:00,27,22,1,1
2022-08-23 00:00:00+00:00,24,22,12,3
2022-08-24 00:00:00+00:00,28,22,5,3
2022-08-25 00:00:00+00:00,28,26,6,6
2022-08-26 00:00:00+00:00,23,22,6,3
2022-08-27 00:00:00+00:00,21,21,2,1
2022-08-28 00:00:00+00:00,25,22,7,4
2022-08-29 00:00:00+00:00,23,15,3,1
