url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,30,28
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,7,5
/Luois45/claim-free-steam-packages/issues/38,7,1
/Luois45/claim-free-steam-packages/issues,5,2
/Luois45/claim-free-steam-packages/actions,2,2
/Luois45/claim-free-steam-packages/blob/main/.github/workflows/update_package_list.yml,2,1
/Luois45/claim-free-steam-packages/tree/github-repo-stats/Luois45/claim-free-steam-packages,2,1
/Luois45/claim-free-steam-packages/tree/github-repo-stats/Luois45/claim-free-steam-packages/latest-report,2,1
/Luois45/claim-free-steam-packages/blob/github-repo-stats/Luois45/claim-free-steam-packages/latest-report/report.html,1,1
/Luois45/claim-free-steam-packages/blob/github-repo-stats/Luois45/claim-free-steam-packages/latest-report/report.pdf,1,1
