time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-26 00:00:00+00:00,10,10,1,1
2023-03-27 00:00:00+00:00,44,30,56,15
2023-03-28 00:00:00+00:00,27,27,8,7
2023-03-29 00:00:00+00:00,25,25,7,4
2023-03-30 00:00:00+00:00,27,27,22,9
2023-03-31 00:00:00+00:00,23,23,21,6
2023-04-01 00:00:00+00:00,24,23,12,6
2023-04-02 00:00:00+00:00,25,25,9,4
2023-04-03 00:00:00+00:00,26,26,12,7
2023-04-04 00:00:00+00:00,25,25,18,8
2023-04-05 00:00:00+00:00,27,27,33,3
2023-04-06 00:00:00+00:00,28,27,1,1
2023-04-07 00:00:00+00:00,27,27,7,2
2023-04-08 00:00:00+00:00,25,25,10,8
2023-04-09 00:00:00+00:00,13,13,9,3
