time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-24 00:00:00+00:00,59,23,5.0,2.0
2023-05-25 00:00:00+00:00,70,25,10.0,7.0
2023-05-26 00:00:00+00:00,66,25,11.0,9.0
2023-05-27 00:00:00+00:00,75,27,3.0,2.0
2023-05-28 00:00:00+00:00,65,26,16.0,10.0
2023-05-29 00:00:00+00:00,77,28,11.0,7.0
2023-05-30 00:00:00+00:00,67,25,9.0,7.0
2023-05-31 00:00:00+00:00,68,26,5.0,5.0
2023-06-01 00:00:00+00:00,74,29,7.0,5.0
2023-06-02 00:00:00+00:00,70,25,6.0,6.0
2023-06-03 00:00:00+00:00,70,24,5.0,5.0
2023-06-04 00:00:00+00:00,68,23,18.0,9.0
2023-06-05 00:00:00+00:00,27,26,2.0,2.0
2023-06-06 00:00:00+00:00,24,24,30.0,8.0
2023-06-07 00:00:00+00:00,1,1,,
