url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,77,50
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,15,12
/Luois45/claim-free-steam-packages/issues,7,5
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,7,4
/Luois45/claim-free-steam-packages/actions,4,1
/Luois45/claim-free-steam-packages/discussions/33,3,2
/Luois45/claim-free-steam-packages/search,2,1
/Luois45/claim-free-steam-packages/actions/workflows/build.yml,1,1
/Luois45/claim-free-steam-packages/blob/main/activate_packages.py,1,1
/Luois45/claim-free-steam-packages/blob/main/activate_packages.spec,1,1
