url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,100,68
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,18,7
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,13,10
/Luois45/claim-free-steam-packages/issues,9,8
/Luois45/claim-free-steam-packages/blob/main/requirements.txt,8,3
/Luois45/claim-free-steam-packages/blob/main/Dockerfile,7,2
/Luois45/claim-free-steam-packages/blob/main/get_package_list.py,6,3
/Luois45/claim-free-steam-packages/blob/main/package_list.txt,5,2
/Luois45/claim-free-steam-packages/issues/257,5,2
/Luois45/claim-free-steam-packages/issues/166,4,3
