time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-31 00:00:00+00:00,16,12,,
2022-08-01 00:00:00+00:00,32,26,1.0,1.0
2022-08-02 00:00:00+00:00,24,22,2.0,2.0
2022-08-03 00:00:00+00:00,30,23,5.0,1.0
2022-08-04 00:00:00+00:00,24,23,19.0,4.0
2022-08-05 00:00:00+00:00,23,22,10.0,4.0
2022-08-06 00:00:00+00:00,27,23,15.0,2.0
2022-08-07 00:00:00+00:00,32,24,10.0,3.0
2022-08-08 00:00:00+00:00,24,23,18.0,1.0
2022-08-09 00:00:00+00:00,31,25,48.0,7.0
2022-08-10 00:00:00+00:00,24,23,1.0,1.0
2022-08-11 00:00:00+00:00,37,23,2.0,2.0
2022-08-12 00:00:00+00:00,40,28,63.0,5.0
2022-08-13 00:00:00+00:00,31,24,2.0,1.0
2022-08-14 00:00:00+00:00,19,12,,
