time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-18 00:00:00+00:00,16,16,9,3
2023-07-19 00:00:00+00:00,24,23,16,7
2023-07-20 00:00:00+00:00,24,24,6,2
2023-07-21 00:00:00+00:00,25,25,10,3
2023-07-22 00:00:00+00:00,26,26,9,4
2023-07-23 00:00:00+00:00,25,25,48,7
2023-07-24 00:00:00+00:00,30,27,3,2
2023-07-25 00:00:00+00:00,30,27,8,6
2023-07-26 00:00:00+00:00,24,24,12,7
2023-07-27 00:00:00+00:00,24,24,43,13
2023-07-28 00:00:00+00:00,31,27,12,5
2023-07-29 00:00:00+00:00,24,24,12,4
2023-07-30 00:00:00+00:00,30,27,21,4
2023-07-31 00:00:00+00:00,30,28,38,7
2023-08-01 00:00:00+00:00,6,6,27,3
