url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,84,56
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,17,11
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,12,6
/Luois45/claim-free-steam-packages/issues,9,3
/Luois45/claim-free-steam-packages/blob/main/Dockerfile,4,1
/Luois45/claim-free-steam-packages/issues/166,2,2
/Luois45/claim-free-steam-packages/issues/257,2,2
/Luois45/claim-free-steam-packages/blob/main/get_package_list.py,2,1
/Luois45/claim-free-steam-packages/releases,2,1
/Luois45/claim-free-steam-packages/tree/main/docs,2,1
