url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,143,57
/Luois45/claim-free-steam-packages/actions,72,3
/Luois45/claim-free-steam-packages/issues,35,9
/Luois45/claim-free-steam-packages/pull/42,21,4
/Luois45/claim-free-steam-packages/releases/tag/v1.4.2,19,7
/Luois45/claim-free-steam-packages/tree/main/.github/workflows,17,3
/Luois45/claim-free-steam-packages/commits/main,14,1
/Luois45/claim-free-steam-packages/pulls,13,4
/Luois45/claim-free-steam-packages/tree/main/.github,10,3
/Luois45/claim-free-steam-packages/discussions,10,1
