time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-02 00:00:00+00:00,25,24,26,8
2023-10-03 00:00:00+00:00,24,24,16,8
2023-10-04 00:00:00+00:00,26,26,11,3
2023-10-05 00:00:00+00:00,27,26,25,8
2023-10-06 00:00:00+00:00,28,25,9,4
2023-10-07 00:00:00+00:00,30,25,39,32
2023-10-08 00:00:00+00:00,34,25,35,9
2023-10-09 00:00:00+00:00,26,25,3,3
2023-10-10 00:00:00+00:00,27,26,51,3
2023-10-11 00:00:00+00:00,25,25,31,4
2023-10-12 00:00:00+00:00,24,24,18,7
2023-10-13 00:00:00+00:00,25,25,32,11
2023-10-14 00:00:00+00:00,35,24,10,5
2023-10-15 00:00:00+00:00,38,28,2,2
