url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,110,77
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,21,10
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,18,16
/Luois45/claim-free-steam-packages/issues,11,8
/Luois45/claim-free-steam-packages/pulls,4,3
/Luois45/claim-free-steam-packages/discussions,3,2
/Luois45/claim-free-steam-packages/labels/bug,3,1
/Luois45/claim-free-steam-packages/pull/232,3,1
/Luois45/claim-free-steam-packages/releases,2,2
/Luois45/claim-free-steam-packages/discussions/33,2,1
